COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Guadeloupe,GLP,AMRO,REPORTING,2023-06-02,400129,152113,100.001,38.016,146098,36.513,,2021-01-08,7,89009,22.245
Honduras,HND,AMRO,REPORTING,2023-06-02,16901540,6485671,170.643,65.481,5751048,58.064,,2021-02-22,6,4665196,47.101
Ireland,IRL,EURO,REPORTING,2023-09-17,12391251,4108813,249.6,83.9,4063151,80.299,,2020-12-30,5,3058389,60.442
Jordan,JOR,EMRO,REPORTING,2022-08-21,10057975,4821579,98.577,47.256,4558313,44.676,,2021-01-13,10,682211,6.686
Libya,LBY,EMRO,REPORTING,2023-01-16,3739158,2316327,54.417,33.71,1236102,17.989,,2021-04-11,10,186729,2.718
Lithuania,LTU,EURO,REPORTING,2023-10-01,4532726,1956489,162.2,69.878,1907062,67.964,,2020-12-23,5,902114,32.149
Malawi,MWI,AFRO,REPORTING,2023-09-24,8503954,5433538,44.454,28.403,4288014,22.415,,2021-03-11,2,1232829,6.444
Maldives,MDV,SEARO,REPORTING,2023-05-25,951764,399308,176.075,73.872,385167,71.255,,2021-02-01,8,167289,30.948
Malta,MLT,EURO,REPORTING,2023-09-03,1280176,450535,248.8,86.48,444904,85.399,,2020-12-23,4,352640,67.689
Netherlands,NLD,EURO,REPORTING,2023-10-01,37561429,12582081,215.8,72.285,11767842,66.898,,2020-12-30,8,9416761,53.533
Niger,NER,AFRO,REPORTING,2023-07-30,7372208,6248483,30.455,25.813,5483001,22.651,,2021-03-29,2,,
Romania,ROU,EURO,REPORTING,2023-09-10,16111239,8188146,83.4,42.999,8142376,42.759,,2021-01-27,4,1768917,9.289
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2023-06-02,73443,37532,66.201,33.831,31632,28.513,,2021-02-01,5,4279,3.857
Slovakia,SVK,EURO,REPORTING,2023-10-01,7222567,2840027,132.3,52.257,2791711,51.368,,2020-12-23,7,1686463,31.031
Argentina,ARG,AMRO,REPORTING,2022-10-07,109652736,41324100,242.617,91.434,37840119,83.725,,2020-12-29,7,30810184,68.17
Australia,AUS,WPRO,REPORTING,2023-10-05,68770769,22193733,269.691,87.035,21602288,84.715,,2021-02-21,5,14402265,56.48
Bahrain,BHR,EMRO,REPORTING,2022-12-21,3476633,1241174,204.319,72.943,1226796,72.098,,2020-11-04,11,1008663,59.278
British Virgin Islands,VGB,AMRO,REPORTING,2023-06-02,41453,19466,137.094,64.378,18261,60.393,,2021-02-11,3,3726,12.323
Egypt,EGY,EMRO,REPORTING,2023-05-21,112673535,56907319,110.103,55.609,42337175,41.371,,2021-01-24,10,15217352,14.87
El Salvador,SLV,AMRO,REPORTING,2023-06-02,11426688,4656627,176.169,71.793,4393762,67.74,,2021-02-17,6,1898202,29.265
Eswatini,SWZ,AFRO,REPORTING,2023-06-04,870205,526050,75.007,45.343,427335,36.834,,2021-03-19,3,179450,15.468
Greece,GRC,EURO,REPORTING,2023-10-01,21985885,7917288,205.1,75.693,7745574,74.051,,2020-12-23,7,5902357,56.429
Guam,GUM,WPRO,REPORTING,2023-01-31,352698,135612,208.975,80.351,128788,76.308,,2021-01-04,3,83603,49.535
India,IND,SEARO,REPORTING,2023-10-18,2206773886,1025830791,159.911,74.335,952127942,68.995,,2021-01-16,8,228815153,16.581
Latvia,LVA,EURO,REPORTING,2023-08-13,2979624,1344386,156.2,71.672,1304787,69.561,,2020-12-30,9,550901,29.37
Lesotho,LSO,AFRO,REPORTING,2023-03-19,1339097,1014073,62.509,47.337,938088,43.79,,2021-03-10,3,177816,8.3
Luxembourg,LUX,EURO,REPORTING,2023-10-01,1337942,469286,213.7,72.713,462732,71.697,,2020-12-30,8,368526,57.101
Montserrat,MSR,AMRO,REPORTING,2023-06-02,4619,2104,92.398,42.088,1952,39.048,,2021-02-08,2,563,11.262
Namibia,NAM,AFRO,REPORTING,2023-11-12,1005937,629767,39.59,24.785,550978,21.684,,2021-03-19,4,298560,11.75
Papua New Guinea,PNG,WPRO,REPORTING,2023-11-05,540974,396922,6.046,4.436,335728,3.752,,2021-03-30,4,37105,0.415
Portugal,PRT,EURO,REPORTING,2023-10-01,27879893,9822021,270.8,95.277,8910340,86.073,,2020-12-23,12,7086988,68.46
Qatar,QAT,EMRO,REPORTING,2023-05-07,7609178,2852178,264.111,98.998,2852178,98.998,,,10,1904822,66.115
Saudi Arabia,SAU,EMRO,REPORTING,2023-04-25,68534631,27041364,196.86,77.674,25433941,73.057,,2021-01-06,10,16059326,46.129
Senegal,SEN,AFRO,REPORTING,2023-11-12,3179647,2684696,18.99,16.034,1546628,9.237,,2021-02-23,3,724754,4.328
Sint Maarten,SXM,AMRO,REPORTING,2023-06-02,66829,29788,155.844,69.465,26773,62.434,,2021-02-22,3,9146,21.328
South Africa,ZAF,AFRO,REPORTING,2023-09-24,41798812,24210953,70.477,40.822,21038797,35.473,,2021-02-17,2,4410601,7.437
Sri Lanka,LKA,SEARO,REPORTING,2022-10-30,40116590,17143761,187.345,80.061,14752827,68.896,,2021-01-29,6,8220002,38.387
United Arab Emirates,ARE,EMRO,REPORTING,2022-07-06,24922054,9991089,251.982,101.018,9792266,99.008,,,11,5138699,51.956
United States of America,USA,AMRO,REPORTING,2023-06-02,668882018,267321711,202.078,80.761,227948938,68.866,,2020-12-14,4,116629517,35.235
Uzbekistan,UZB,EURO,REPORTING,2023-09-24,82204584,22087857,245.6,64.809,18445168,54.121,,2021-04-28,9,16251340,47.684
Wallis and Futuna,WLF,WPRO,REPORTING,2023-01-23,17303,7150,153.859,63.578,6803,60.493,,2021-03-19,1,3350,29.788
Andorra,AND,EURO,REPORTING,2023-09-24,157072,57913,203.3,73.276,53501,67.694,,2021-01-20,4,43071,54.497
Anguilla,AIA,AMRO,REPORTING,2023-06-02,24611,10854,164.051,72.35,10380,69.191,,2021-02-05,2,3046,20.304
Bahamas,BHS,AMRO,REPORTING,2023-06-02,366359,174810,93.163,44.453,166972,42.46,,2021-03-14,4,33717,8.574
Barbados,BRB,AMRO,REPORTING,2023-06-02,381721,163846,132.83,57.015,155036,53.949,,2021-01-08,5,62839,21.867
Belarus,BLR,EURO,REPORTING,2023-09-03,22511000,6440777,238.2,67.244,6356035,66.36,,2021-02-03,5,5720777,59.727
Belize,BLZ,AMRO,REPORTING,2023-06-02,510770,258456,128.454,64.999,221408,55.682,,2021-03-01,5,50238,12.634
Benin,BEN,AFRO,REPORTING,2022-12-18,4232541,3697190,34.913,30.497,2742837,22.625,,2021-03-29,5,,
Bermuda,BMU,AMRO,REPORTING,2023-06-02,132042,48554,212.037,77.97,47657,76.529,,2021-01-11,3,31829,51.112
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-06-02,16016290,7492606,137.208,64.187,6295624,53.933,,2021-01-30,7,2487668,21.311
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,2021-09-01,35845,19109,137.934,73.533,16736,64.401,,,2,,
Botswana,BWA,AFRO,REPORTING,2023-05-07,3171667,1951054,134.871,82.966,1663490,70.738,,2021-03-26,6,507654,21.587
Cambodia,KHM,WPRO,REPORTING,2023-11-07,47723729,15311319,285.447,91.581,14688007,87.852,,2021-02-10,7,10762713,64.374
Cameroon,CMR,AFRO,REPORTING,2023-10-15,4880572,3753733,18.385,14.141,3197286,12.044,,2021-04-12,4,803560,3.027
Canada,CAN,AMRO,REPORTING,2023-06-02,97596974,32645232,258.589,86.495,31311576,82.962,,2020-12-14,6,19776324,52.399
Chad,TCD,AFRO,REPORTING,2023-11-19,9148883,5146338,55.698,31.331,5019031,30.556,,2021-06-04,1,4042573,24.611
Croatia,HRV,EURO,REPORTING,2023-10-01,5435966,2320278,134,60.111,2246622,58.168,,2020-12-23,6,996098,25.79
French Polynesia,PYF,WPRO,REPORTING,2023-07-17,493692,195688,175.749,69.663,195688,69.663,,2021-01-18,2,102317,36.424
Georgia,GEO,EURO,REPORTING,2023-05-28,2739270,1300867,68.7,34.616,1187212,31.592,,2021-03-17,4,251191,6.684
Grenada,GRD,AMRO,REPORTING,2023-06-02,90686,44241,80.593,39.317,39034,34.69,,2021-02-15,5,7411,6.586
Indonesia,IDN,SEARO,REPORTING,2023-10-18,448192472,203877425,163.859,74.537,174958797,63.965,,2021-01-13,7,69356250,25.357
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2023-08-15,155445801,65194977,185.07,77.62,58582625,69.747,,2021-02-09,12,28576234,34.022
Kenya,KEN,AFRO,REPORTING,2023-04-02,23750431,14494372,44.169,26.956,11090440,20.625,,2021-03-05,5,2000636,3.721
Kosovo,XKX,EURO,REPORTING,2023-01-15,1836901,904558,,50.758,824752,46.279,,2021-03-31,2,105624,5.927
Liberia,LBR,AFRO,REPORTING,2022-12-11,4460668,3903802,88.196,77.186,3730967,73.768,,2021-04-01,1,1987,0.039
Madagascar,MDG,AFRO,REPORTING,2023-07-30,3092063,2710365,11.166,9.788,2628849,9.494,,2021-05-10,3,169187,0.611
Mauritania,MRT,AFRO,REPORTING,2023-11-19,4075874,2103754,87.66,45.245,1540597,33.134,,2021-03-26,2,383937,8.257
Nepal,NPL,SEARO,REPORTING,2023-10-17,62608595,27882327,214.878,95.695,24469977,83.983,,2021-01-27,8,10256291,35.2
Solomon Islands,SLB,WPRO,REPORTING,2023-07-04,612700,335796,89.2,48.887,254016,36.981,,2021-03-23,4,27896,4.061
Sudan,SDN,EMRO,REPORTING,2023-04-02,22598737,15207452,51.537,34.681,13416394,30.597,,2021-03-09,11,3891363,8.874
Tonga,TON,WPRO,REPORTING,2023-06-30,204737,87375,193.705,82.667,77390,73.22,,2021-04-14,2,38588,36.509
United Republic of Tanzania,TZA,AFRO,REPORTING,2023-03-12,39392419,34434933,65.946,57.647,32165791,53.848,,2021-07-28,3,,
Uruguay,URY,AMRO,REPORTING,2023-06-02,9023199,3009801,259.755,86.645,2902437,83.554,,2021-02-27,3,2079949,59.877
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2023-06-02,37860994,22157232,133.145,77.92,14287370,50.244,,2021-02-22,6,651502,2.291
Algeria,DZA,AFRO,REPORTING,2022-09-04,15267442,7840131,34.817,17.879,6481186,14.78,,2021-01-30,4,575651,1.313
Angola,AGO,AFRO,REPORTING,2023-11-19,27722924,16522932,84.351,50.273,9591203,29.183,,2021-03-10,1,3014421,9.172
Armenia,ARM,EURO,REPORTING,2023-10-01,2256919,1150915,76.2,41.237,1030758,36.932,,2021-01-27,10,81354,2.915
Aruba,ABW,AMRO,REPORTING,2023-06-02,216974,90449,203.224,84.717,84297,78.955,,2021-02-17,2,35659,33.399
Brazil,BRA,AMRO,REPORTING,2023-06-02,513329718,188746389,241.499,88.797,171459392,80.664,,2021-01-17,5,110382337,51.93
Burkina Faso,BFA,AFRO,REPORTING,2023-07-23,7893609,6089089,37.763,29.13,5232347,25.031,,2021-06-02,3,4056,0.019
Costa Rica,CRI,AMRO,REPORTING,2023-06-02,13371989,4641899,262.499,91.123,4358863,85.567,,2020-12-24,3,2957974,58.066
Dominica,DMA,AMRO,REPORTING,2023-06-02,67647,32995,93.966,45.832,30659,42.587,,2021-02-12,5,3993,5.547
Finland,FIN,EURO,REPORTING,2023-10-01,13265058,4547671,240.1,81.966,4365148,78.676,,2020-12-23,5,3088731,55.67
French Guiana,GUF,AMRO,REPORTING,2023-06-02,242193,100299,81.087,33.581,90464,30.288,,2021-01-13,3,46331,15.512
Gabon,GAB,AFRO,REPORTING,2023-02-05,572672,311244,25.73,13.984,257471,11.568,,2021-03-23,3,2592,0.116
Haiti,HTI,AMRO,REPORTING,2023-06-02,664150,521396,5.825,4.573,350403,3.073,,,2,,
Iceland,ISL,EURO,REPORTING,2023-04-16,869976,307269,238.9,81.685,297921,79.182,,2020-12-30,5,254556,67.656
Jersey,JEY,EURO,OWID,2023-01-29,266953,84365,247.646,78.264,81882,75.96,,,3,73662,68.335
Lebanon,LBN,EMRO,REPORTING,2022-12-22,5814699,2740227,85.192,40.147,2414223,35.371,,2021-02-14,10,660249,9.673
Malaysia,MYS,WPRO,REPORTING,2023-10-26,72653181,28140956,224.474,86.946,27554035,85.133,,2021-02-24,8,16348342,50.511
Marshall Islands,MHL,WPRO,REPORTING,2023-03-24,110742,47077,187.083,79.53,40689,68.738,,2020-12-29,3,18559,31.353
Myanmar,MMR,SEARO,REPORTING,2023-08-21,93477104,41551927,171.802,76.368,35937796,66.05,,2021-01-27,2,15987381,29.383
Oman,OMN,EMRO,REPORTING,2022-10-25,7086050,3257365,138.762,63.787,3048826,59.703,,2020-12-29,11,779859,15.272
Pakistan,PAK,EMRO,REPORTING,2023-11-07,340957000,165567890,154.354,74.954,140475871,63.595,,2021-02-03,11,53135231,24.055
Republic of Moldova,MDA,EURO,REPORTING,2023-10-01,2291436,1109270,,36.233,1078813,35.238,,2021-03-03,7,404774,13.221
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2023-06-02,64297,33794,120.877,63.532,27000,50.76,,2021-02-22,3,3465,6.514
Slovenia,SVN,EURO,REPORTING,2023-10-01,2993446,1217608,142.8,57.784,1187389,56.35,,2020-12-23,8,646504,30.681
Somalia,SOM,EMRO,REPORTING,2023-07-25,10555834,8972167,66.417,56.453,7666835,48.24,,2021-03-16,11,28134,0.177
Togo,TGO,AFRO,REPORTING,2023-11-19,3423181,2255579,41.349,27.245,1554066,18.772,,2021-03-10,1,427804,5.168
Tokelau,TKL,WPRO,REPORTING,2022-12-05,6342,2203,469.778,163.185,2203,163.185,,2021-07-20,1,968,71.704
Tunisia,TUN,EMRO,REPORTING,2023-06-20,13253317,7218871,112.139,61.08,6401841,54.167,,2021-03-13,10,1258577,10.649
Vanuatu,VUT,WPRO,REPORTING,2023-02-20,355430,176624,115.721,57.505,162250,52.825,,2021-06-02,3,16556,5.39
Zambia,ZMB,AFRO,REPORTING,2023-06-25,13615707,11711565,74.063,63.705,9155551,49.802,,2021-04-14,3,1414619,7.695
Zimbabwe,ZWE,AFRO,REPORTING,2023-11-19,13935112,7525247,93.758,50.631,5660934,38.088,,2021-02-18,4,2298971,15.468
New Caledonia,NCL,WPRO,REPORTING,2023-04-03,480497,192371,168.301,67.381,184801,64.729,,2021-01-20,2,103325,36.191
Nigeria,NGA,AFRO,REPORTING,2023-11-05,133048021,93829435,64.543,45.517,81297808,39.438,,2021-03-05,1,16826715,8.163
Niue,NIU,WPRO,REPORTING,2023-03-04,4923,1638,304.265,101.236,1635,101.051,,2021-06-08,1,1225,75.711
occupied Palestinian territory,PSE,EMRO,REPORTING,2022-10-18,3748571,2012767,73.481,39.455,1776973,34.833,,2021-02-02,10,336967,6.605
Saba,XCA,AMRO,REPORTING,2023-06-02,4979,1687,257.579,87.274,1667,86.239,,,,1170,60.528
San Marino,SMR,EURO,REPORTING,2022-05-22,69338,26357,204.3,78.105,23633,70.033,,2021-02-24,2,19348,57.335
South Sudan,SSD,AFRO,REPORTING,2023-10-01,4365547,4315127,39,38.55,4273253,38.175,,2021-04-06,2,513122,4.584
Tajikistan,TJK,EURO,REPORTING,2023-06-04,20525784,5328277,215.2,54.649,5191919,53.25,,2021-03-24,8,5280117,54.155
Turks and Caicos Islands,TCA,AMRO,REPORTING,2023-06-02,73907,32815,190.885,84.754,30710,79.317,,2021-01-11,1,7443,19.224
Antigua and Barbuda,ATG,AMRO,REPORTING,2023-06-02,136512,64290,139.399,65.65,62384,63.703,,2021-03-01,6,9838,10.046
Bonaire,XAA,AMRO,REPORTING,2023-06-02,43070,17460,205.929,83.481,16189,77.404,,,,8125,38.848
Colombia,COL,AMRO,REPORTING,2023-06-02,90506612,43012174,177.872,84.532,37019801,72.755,,2021-02-17,5,14792792,29.072
Comoros,COM,AFRO,REPORTING,2022-10-02,835021,438825,96.023,50.463,397080,45.662,,2021-04-10,3,,
Cyprus,CYP,EURO,REPORTING,2023-09-17,1858992,669230,209.3,73.979,656139,72.525,,2020-12-23,5,487409,53.875
Democratic Republic of the Congo,COD,AFRO,REPORTING,2023-06-04,18808671,17045721,21.001,19.032,14399520,16.078,,2021-04-19,1,,
Equatorial Guinea,GNQ,AFRO,REPORTING,2022-07-24,488738,270109,34.836,19.252,214032,15.255,,2021-02-12,2,4597,0.328
Eritrea,ERI,AFRO,REPORTING,2022-07-03,,0,,0,0,0,,,,,
Ghana,GHA,AFRO,REPORTING,2023-07-02,25624828,13864186,82.467,44.618,10780003,34.693,,2021-03-02,2,4806017,15.467
Iraq,IRQ,EMRO,REPORTING,2023-01-02,19557364,11332925,48.623,28.176,7944775,19.752,,2021-03-02,10,275280,0.684
Isle of Man,IMN,EURO,OWID,2022-06-23,189994,69560,223.438,81.804,67106,78.919,,,3,53328,62.715
Jamaica,JAM,AMRO,REPORTING,2023-06-02,1525895,858035,51.53,28.976,758800,25.625,,2021-03-10,6,45995,1.553
Liechtenstein,LIE,OTHER,REPORTING,2022-04-10,71104,26681,183.5,68.86,26346,67.995,,2021-01-06,3,18310,47.255
Mali,MLI,AFRO,REPORTING,2023-05-14,5922585,4354292,29.246,21.502,3633589,17.943,,2021-03-31,1,,
Martinique,MTQ,AMRO,REPORTING,2023-06-02,401816,150795,107.075,40.184,145536,38.782,,,2,92919,24.761
Mexico,MEX,AMRO,REPORTING,2023-06-02,222226293,96727823,172.358,75.022,81346379,63.092,,2020-12-24,8,57014052,44.22
Monaco,MCO,EURO,REPORTING,2022-12-04,71027,25319,181,69.015,24933,67.963,,2021-06-30,7,17806,48.536
Montenegro,MNE,EURO,REPORTING,2022-12-04,523735,272152,83.4,43.346,251583,40.07,,2021-02-24,5,0,0
Morocco,MAR,EMRO,REPORTING,2023-05-14,55389602,25020168,150.064,67.786,23521989,63.727,,2021-01-28,10,6884356,18.651
Mozambique,MOZ,AFRO,REPORTING,2023-07-02,34950858,22869646,111.823,73.17,21329745,68.243,,2021-03-08,3,2323562,7.434
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2023-05-30,123536,46824,214.632,81.352,45953,79.839,,2020-12-19,3,26121,45.383
Norway,NOR,EURO,REPORTING,2023-09-03,12335349,4346149,229.8,80.109,4061312,74.859,,2020-12-23,4,3020434,55.673
Panama,PAN,AMRO,REPORTING,2023-06-02,8901881,3533579,206.312,81.895,3174229,73.567,,2021-01-20,2,1769698,41.015
Peru,PER,AMRO,REPORTING,2023-06-02,89593907,30487563,271.728,92.465,28654963,86.907,,2021-02-09,4,22143074,67.158
Poland,POL,EURO,REPORTING,2023-10-01,58240570,22984543,153.4,61.041,22705868,60.301,,2020-12-23,5,12534539,33.289
Puerto Rico,PRI,AMRO,REPORTING,2023-06-02,7846764,2905470,274.281,101.56,2688410,93.972,,,4,1808780,63.225
Sao Tome and Principe,STP,AFRO,REPORTING,2023-07-30,263863,140256,120.398,63.997,111986,51.098,,2021-03-15,2,34624,15.799
Suriname,SUR,AMRO,REPORTING,2023-06-02,554588,267820,94.538,45.654,237879,40.55,,2021-02-23,5,48889,8.334
Azerbaijan,AZE,EURO,REPORTING,2023-09-24,13829360,5436662,136.4,52.717,4888112,47.398,,2021-01-20,5,3504588,33.982
Belgium,BEL,EURO,REPORTING,2023-09-03,29120974,9255132,252.7,79.665,9158814,78.836,,2020-12-30,5,7245372,62.365
Bhutan,BTN,SEARO,REPORTING,2022-10-30,2011426,699116,260.68,90.605,677669,87.826,,2021-03-27,5,634641,82.249
Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950,943394,,28.842,846080,25.867,,,4,,
China,CHN,WPRO,REPORTING,2023-04-20,3516880717,1318026807,239.034,89.583,1284479582,87.303,,2020-07-22,8,834060133,56.689
Cook Islands,COK,WPRO,REPORTING,2023-01-31,40080,15112,228.194,86.04,14728,83.853,,2021-05-17,1,10240,58.301
Czechia,CZE,EURO,REPORTING,2023-10-01,18618084,6972320,174.1,66.298,6887986,65.496,,2020-12-23,9,4366166,41.516
Djibouti,DJI,EMRO,REPORTING,2023-10-08,442199,421573,44.757,42.669,401208,40.608,,2021-03-15,11,,
Dominican Republic,DOM,AMRO,REPORTING,2023-06-02,15972891,7322815,147.244,67.504,6095810,56.193,,2021-02-16,5,2554266,23.546
Germany,DEU,EURO,REPORTING,2023-09-03,193241457,64868618,232.4,77.932,63566137,76.368,,2020-12-23,9,52143826,62.645
Gibraltar,GIB,EURO,OWID,2022-12-16,132810,42175,394.2,125.182,41465,123.074,,,2,49170,145.944
Guatemala,GTM,AMRO,REPORTING,2023-06-02,20370595,8935137,113.703,49.874,7127944,39.786,,2021-02-25,5,3719543,20.762
Israel,ISR,EURO,REPORTING,2022-06-05,17915305,7055466,207,79.274,6385731,71.749,,2020-12-16,3,4474108,50.271
Kazakhstan,KAZ,EURO,REPORTING,2023-04-30,38355605,12443364,204.3,64.821,13070774,68.089,,2021-04-07,5,6801526,35.431
Kuwait,KWT,EMRO,REPORTING,2023-11-07,8261171,3457475,193.444,80.96,3346151,78.354,,2020-12-28,10,1457545,34.13
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2023-05-21,13879410,6324678,190.768,86.93,5691962,78.234,,2020-11-25,8,2451034,33.689
Micronesia (Federated States of),FSM,WPRO,REPORTING,2023-03-28,198749,83871,172.791,72.917,80910,70.342,,2021-01-13,4,30537,26.549
Rwanda,RWA,AFRO,REPORTING,2023-06-04,27322059,10884714,210.945,84.037,10399665,80.293,,2021-03-05,7,4225194,32.621
"Saint Helena, Ascension and Tristan da Cunha",SHN,AFRO,OWID,2021-05-05,7892,4361,129.995,71.833,3531,58.162,,,1,,
Saint Lucia,LCA,AMRO,REPORTING,2023-06-02,122977,60140,66.971,32.751,54971,29.936,,2021-02-17,5,7866,4.284
Serbia,SRB,EURO,REPORTING,2023-03-05,6722671,3398116,97.1,46.57,3324555,45.562,,2020-12-23,5,0,0
Sweden,SWE,EURO,REPORTING,2023-10-01,23237123,7473037,225,71.496,7334822,70.174,,2020-12-23,5,5542831,53.03
Tuvalu,TUV,WPRO,REPORTING,2023-02-01,26783,9763,227.129,82.793,9505,80.605,,2021-04-13,1,5745,48.719
Thailand,THA,SEARO,REPORTING,2023-09-01,139343323,57666184,199.632,82.616,54196116,77.645,,2021-02-28,8,27481023,39.371
